Polish,English
facetów,guys
czekajcie,wait
biegnij,run
obu,both
decyzję,decision
waszej,yours
steve,steve
drugiego,the second
szaleństwo,madness
Jerry,Jerry
język,Tongue
lubią,they like
obudź,wake up
gówna,shit
wygrać,win
spróbuję,I'll try
przyszedłeś,you came
wiec,So
leo,Leo
względu,no matter
odnaleźć,find
układ,system
sens,sense
psy,dogs
oczach,eyes
śmiercią,death
uciekł,he escaped
zaufać,trust
czasy,times
ruszamy,let's go
zabiorę,I'll take it
bycie,being
interesy,business
oczu,eyes
szans,chances
nazywają,they call
wyniki,results
miliony,millions
miła,nice
wątpię,I doubt it
nieba,heaven
inna,different
sukinsyn,son of a bitch
południe,south
armii,army
bawić,have fun
zazwyczaj,usually
wydarzyło,happened
punkt,point
dostałeś,you got it
pozwoli,will allow
następnego,next
zdecydowanie,definitely
mówili,they said
prowadzić,to lead
stop,Stop
oglądać,to watch
woli,will
kłopotów,trouble
ziemia,earth
innej,another one
dziećmi,children
sto,hundred
indziej,else
bratem,brother
daleka,far away
szanse,chances
dzwoni,calls
widzieliśmy,we saw
van,van
budynek,building
synchro,synchro
bierze,takes
warto,it's worth it
musze,I have to
umysł,mind
mego,mine
detektyw,detective
każde,each
konia,horse
zmiany,changes
różnica,difference
robiłem,I did
długi,long
listę,list
hmm,hmm
duża,big
pomaga,helps
własnego,own
musiałam,I had to
wujek,uncle
nóż,knife
żadna,none
państwa,countries
niektóre,some
podziękować,thank
nadchodzi,is coming
żyję,is alive
tamtej,that one
zostali,they stayed
cholernie,damned
larry,Larry
radio,radio
bólu,pain
ha,ha
walka,fight
zabierzcie,take it away
zniknął,disappeared
wiedzieli,they knew
chciałaś,you wanted
doktora,doctor
prawdziwym,real
wyglądać,look
przekonać,to convince
pytam,I'm asking
wyluzuj,relax
dowie,will find out
trwa,lasts
znajduje,finds
poznałem,I met
ojcu,father
ostatnich,last ones
al,al
wolność,freedom
łeb,head
strzelaj,shoot
myślał,he thought
zabiją,they will kill
wychodzę,I'm leaving
posłuchać,listen
strzał,shot
kinomania,cinephilia
utrzymać,maintain
cholerny,damn
kasy,cash register
potrzebują,they need
okolicy,area
wolności,freedom
czułem,I felt
Carter,Carter
Jones,Jones
opowiedz,tell me
łodzi,boat
prosze,Please
czasów,times
minęło,passed
widziała,she saw
północy,midnight
ruchy,movements
ku,to
pokładzie,board
absolutnie,absolutely
vegas,vegas
małym,small
cisza,silence
klasy,classes
czekają,they are waiting
pytasz,you ask
nos,nose
przejmuj,take over
szlag,damn
mamą,mother
wierzy,he believes
lepszego,better
zabili,they killed
okropne,terrible
śmiało,go ahead
sali,hall
sprawdzę,I'll check
następne,next
powtarzam,I repeat
mieszkania,apartments
bój,funk
wraz,together
pańska,yours
zmarł,died
czterech,four
uczucia,feelings
czytać,to read
podejdź,come over
uwierz,believe me
doceniam,I appreciate
warte,worth it
czyżby,maybe
pańskie,yours
zero,zero
różnych,various
zobaczyłem,I saw
bomba,bomb
nowej,new one
pamięć,memory
taty,dad
zastanawiam,I wonder
klucze,keys
wróć,come back
rzeczą,thing
własny,own
przyjdę,I'll come
przypomina,reminds
danych,data
tatuś,daddy
przeszłości,the past
pochodzi,comes
zobaczy,he will see
napisane,written
mark,mark
mężem,husband
drogą,way
ubrania,clothes
akta,files
widzimy,we see
jakiejś,some
brian,Brian
żadne,none
ufać,trust
najważniejsze,the most important thing
doczekać,wait
sklepu,store
szczególnie,especially
północ,midnight
zostawię,I'll leave it
hatak,hatak
bazy,bases
podróży,travel
ręki,hands
prezydencie,president
spytać,ask
Chicago,Chicago
piątek,Friday
Charles,Charles
decyzja,decision
potrzebna,needed
ocalić,save
lewej,left
pojechać,go
obie,both
Rose,Rose
Amy,Amy
dopasowane,fitted
pić,drink
mojemu,mine
zmęczony,tired
wchodzi,comes in
randkę,date
grupy,groups
pieprz,pepper
waszych,yours
potrwa,it will take
bezpieczny,safe
gorąco,hot
stracił,lost
miecz,sword
pamięta,remembers
łatwe,easy
siłę,strength
zaczniemy,we'll start
wyjdziesz,you will leave
własnym,own
pospiesz,hurry up
słyszeć,to hear
śpi,sleeps
zbliża,getting closer
czekamy,we are waiting
kieszeni,pocket
świąt,world
stóp,Stop
zdarza,it happens
nogę,leg
generał,general
żołnierzy,soldiers
przeszkadza,disturbing
zajmuje,occupies
sprzęt,equipment
miałby,would have
wyszła,she left
silny,strong
szefa,boss
słodki,sweet
dostęp,access
spotkania,meetings
porozmawiamy,we'll talk
ufam,I trust
dowodów,evidence
winny,guilty
new,new
dzwonię,I'm calling
firma,business
zginąć,die
trzymajcie,hold on
złym,bad
swoimi,with their own
głęboko,deep
małżeństwo,marriage
pełne,full
bierzesz,you take it
nieprawdaż,isn't it?
ranny,early
martwię,I'm worried
stanu,state
komputer,computer
połóż,put
auto,car
równie,as
założyć,to establish
zapewne,probably
nadszedł,it has come
kwiaty,flowers
niedaleko,near
wroga,enemy
paru,a few
dziwnego,strange
ameryki,america
cos,something
napiprojekt,napiprojekt
liczyć,to count
wiatr,wind
staje,stops
kawał,piece
straciliśmy,we lost
szkoła,school
zęby,To
zaszczyt,honor
zachować,keep
znaczenie,meaning
energii,energy
zaczekać,wait
potrzeby,needs
misji,mission
przyjemnością,pleasure
waszym,yours
możliwość,possibility
najszybciej,fastest
joey,joey
piłkę,ball
jakich,what
armia,army
zechcesz,you want
czerwony,red
stacji,station
byłaby,would be
cenę,price
dobrych,good ones
strachu,fear
musiałeś,you had to
cia,body
gratuluję,congratulations
wyjechać,leave
gdybyśmy,if we
pole,field
forsy,money
hotel,hotel
zapach,smell
zmieniło,changed
zabrali,they took it away
wojnie,war
mieszkam,I live
starego,old
oddział,branch
ted,ted
sklep,store
bezpiecznie,safely
house,house
odszedł,he left
królem,king
samolotu,plane
emily,emily
planu,plan
wróciłem,I'm back
jutra,tomorrow
brawo,way to go
boi,afraid
minutę,minute
bezpieczne,safe
kontroli,control
bzdury,Nonsense
ducha,spirit
pomyśleć,think
znacznie,much
dała,she gave
miały,they had
moze,Maybe
czysty,clean
profesorze,Professor
byłbym,I would
otwieraj,open
lot,flight
wyobrazić,imagine
zadowolony,content
domem,home
sprzedać,sell
przyniosę,I'll bring it
zdejmij,take it off
głową,head
martin,Martin
celem,goal
skończył,he finished
mężczyźni,men
musiało,it had to
tygodnia,week
żartuję,kidding
zasadzie,basically
przekazać,to pass
mogłaby,she could
don,don
móc,power
dałeś,you gave
zostaną,they will stay
obejrzeć,see
mogłoby,could
mamę,mom
wyszło,it worked out
zamian,exchange
umowę,contract
auta,cars
pomocą,help
umowa,agreement
śmieci,garbage
restauracji,restaurant
dan,dan
zacząłem,I started
normalnie,normally
odsuń,move away
kontrolę,control
sądu,court
mamie,mom
wszystkimi,everyone
znajdą,they will find
jestes,You are
tatusiu,daddy
zrobią,they will do
przyjechał,he arrived
kurs,course
chuck,chuck
rusz,move
eric,eric
spotkałem,I met
zostawcie,leave it
kompletnie,totally
troszkę,a little
dokumenty,documents
pamięci,memory
przeznaczenie,destiny
najlepszych,the best
zaczęła,she started
seksu,sex
duszę,soul
poprzez,by
moge,I can
przynieść,bring
samobójstwo,suicide
napisał,he wrote
robiłeś,you did
ross,ross
pełno,full
rzeki,rivers
wyciągnąć,draw out
potrzebować,need
córką,daughter
książka,book
zwierzęta,animals
podobało,liked it
ruchu,traffic
wyjdę,I'll leave
zabijesz,you will kill
długa,long
setki,hundreds
gwiazdy,stars
załatwię,I'll arrange it
bracia,brethren
zabijać,kill
wino,wine
trzeci,third
waszą,yours
bond,bond
stanów,states
patrzę,I'm looking
nawzajem,Mutually
aha,I see
kevin,kevin
gliną,clay
tamtego,that one
ryby,fish
morderstwa,murders
podnieś,pick up
annie,annie
gdziekolwiek,wherever
dwaj,two
prawej,right
kapitana,captain
las,forest
połowę,half
subgroup,subgroup
wyłącz,off
niedobrze,not good
udowodnić,prove
walter,walter
zabija,kills
kurde,damn
planety,planets
proces,process
zejdź,come down
okoliczności,circumstances
zmienił,changed
książę,prince
barze,bar
siostrę,sister
kościoła,church
spodnie,Pants
mieszkasz,you live
kwestia,issue
wyglądał,looked
anglii,england
patrzysz,you look
bohaterem,hero
sytuację,situation
wątpliwości,doubts
patrzy,looks
sądziłem,I thought
niebo,sky
niezbyt,not very
sumie,all in all
ręka,hand
pete,pete
zadzwonił,he called
jenny,jenny
dachu,roof
powrót,return
słyszałaś,you heard
ledwo,barely
konieczne,necessary
fps,fps
widzieliście,you saw
czyni,makes
zmiana,Change
zadać,demand
sukinsynu,son of a bitch
doprawdy,really
mogliśmy,we could
uczyć,teach
pragnę,I want
pogadamy,we'll talk
umie,knows
powinniście,you should
wróciła,she's back
tysiąc,thousand
byliście,you were
normalne,normal
przedstawić,present
matt,Matt
zachód,West
robert,robert
prędzej,sooner
zostałeś,you stayed
prawdziwą,real
amen,Amen
sztuki,art
sprawą,thing
ryzyko,risk
używać,use
duch,ghost
stole,table
plaży,beach
nosi,wears
żebyście,so that you
cofnąć,undo
parku,park
napić,drink
wolne,free
rzucić,quit
zabieraj,take it away
badań,research
przyszłym,future
próbujesz,you try
porucznik,lieutenant
poważne,serious
dotąd,so far
środek,middle
bezpieczna,safe
zamiaru,intention
trzymam,I'm holding it
umarła,she died
dziewczynki,girls
ukryć,hide
wchodzę,I'm coming in
sklepie,store
dotrzeć,reach
chwilą,one sec
odpowiada,replies
obrony,defense
trzymasz,you hold
pisać,to write
pozwolenie,permission
gadasz,you're talking
waszego,yours
winy,guilt
mistrz,master
mogłaś,you could
życzę,I wish
czasach,times
funtów,pounds
systemu,system
imprezę,party
jazdy,driving
pozwala,allows
jean,jean
pomógł,helped
dużą,big
jacka,jack
rozmowa,conversation
jedi,jedi
napisać,write
darmo,free
suko,bitch
przygotuj,prepare
fajne,cool
słyszał,he heard
dziwny,weird
pewnym,certain
grace,Grace
którymi,which
znacie,you know
william,william
władzy,power
narkotyki,drugs
alan,alan
zrozumiano,understood
służyć,serve
dzwoń,bell
drzwiami,door
samych,alone
bilety,tickets
interesujące,interesting
czekał,he waited
znałem,I knew
jezus,Jesus
sercu,heart
pewność,confidence
przeprosić,apologize
przeszłość,past
jednostki,units
czynienia,dealing
uważać,be careful
dziadek,grandpa
pisze,I'm writing
ciężkie,heavy
znaleziono,found
wybierasz,you choose
chora,sick
słuchasz,you are listening
przyjąć,adopt
powietrza,air
jaj,eggs
smith,smith
mając,having
bać,afraid
wieczoru,evening
meksyku,Mexico
zajmij,occupy
projekt,design
oczywiste,obvious
gościem,guest
pieprzone,fucking
kelly,kelly
kamery,cameras
większe,bigger
powodów,reasons
dzieciaka,kid
wejście,entry
mylisz,you're wrong
bedzie,will be
thomas,thomas
babcia,grandmother
nosić,to wear
znalazła,she found it
klubu,club
okazję,opportunity
chłopcem,boy
połowa,half
niebie,heaven
czyste,clean
kolor,color
cholerne,damn
muzykę,music
tv,tv
drzewa,trees
najlepszą,the best
narkotyków,drugs
niewiarygodne,unbelievable
miami,Miami
zrobione,done
kumpel,buddy
twego,yours
lucy,lucy
żałuję,I regret
wschód,east
klientów,customers
władzę,authorities
wymaga,requires
biedny,poor
uśmiech,smile
zobaczył,saw
kupiłem,I bought
pomyłka,mistake
carl,Carl
szeryfie,Sheriff
nareszcie,at last
pracowałem,I worked
city,city
zacznij,start
poradzić,help
święty,holy
wyjątkiem,except
bilet,ticket
zginie,will die
daniel,daniel
żołnierze,soldiers
mb,meters
przyda,useful
cudowne,wonderful
łatwiej,easier
wyglądało,it looked like
złota,gold
kolana,knees
spędzić,spend
przeżyć,survive
sądzi,he thinks
drużyny,teams
wsparcie,support
majorze,Major
ofiar,victims
wesołych,Happy
odpowiedzialny,responsible
ofiara,victim
brakowało,was missing
sekret,secret
pierdolony,fucking
powinny,they should
oddech,breath
zajęcia,classes
ah,ah
wykorzystać,to use
raka,cancer
chcieliśmy,we wanted
muzyki,music
dar,gift
siostro,sister
studia,studies
będąc,being
jason,jason
red,ed
znał,he knew
jesli,If
słyszy,hears
Luke,Luke
problemem,problem
skrzywdzić,hurt
potrafią,they can
street,street
czysto,purely
Jackson,Jackson
śledztwo,investigation
siostrą,sister
wolałbym,I would rather
Susan,Susan
próba,attempt
sił,forces
piersi,breasts
działo,gun
stopy,feet
twoimi,yours
najmniej,least
dziewczyn,girls
witajcie,hello
plecy,back
Elizabeth,Elizabeth
bogiem,god
dali,they gave
pijany,drunk
wyspie,island
punkcie,point
zabójca,killer
kościół,church
winien,should
wszedł,he came in
dziwka,whore
oddychać,breathe
służby,services
duszy,soul
zdarzyło,happened
zagrać,play
umrę,I will die
Lisa,Lisa
pełna,full
pokład,deck
szacunku,respect
odbiło,it rebounded
pozwolisz,you will allow it
klubie,club
czytałem,I was reading
wiedziałaś,you knew
rąk,cancer
zasad,rules
zdjęć,photos
osobę,person
małej,little one
zróbcie,do it
wróciłeś,you're back
dostałam,I received
wielkiej,great
kontynuować,to continue
Ryan,Ryan
oddychaj,breathe
poczucie,sense
terry,Terry
idealnie,perfectly
udawać,to pretend
imienia,name
zapytaj,ask
francji,France
udać,succeed
kontrolować,control
matko,mother
pojadę,I'll go
anna,Anna
zauważyłem,I noticed
boku,side
działania,actions
uszy,ears
zdjąć,take off
cud,miracle
wysoko,high
poszedłem,I went
movie,movie
akt,act
drużyna,team
pułkownik,colonel
jasno,clearly
park,park
latać,fly
filmie,movie
wydawało,it seemed
zachowanie,behavior
doszło,it happened
okna,windows
przyjaciółka,friend
scott,scott
strona,side
impreza,party
suka,female dog
ciśnienie,pressure
angielsku,English
przypuszczam,I suppose
posłuchajcie,listen
uważnie,carefully
kartę,card
dupie,ass
dziewięć,nine
kamień,stone
ludzkie,human
upewnić,make sure
zapłacę,I will pay
autobus,bus
tęsknię,I miss
południu,noon
żonaty,married
rachunek,Bill
próbowałam,I tried
dajesz,you give
wierz,believe
liceum,high school
wziąłem,I took it
złoto,gold
odpowiedzieć,reply
biorąc,taking
stała,constant
zabiła,she killed
nadziei,hope
ściany,walls
wykonać,perform
oddam,I'll give it back
odpocząć,to rest
zło,evil
miej,have
mieszkaniu,apartment
cofnij,undo
profesor,professor
zrobienia,to do
ważny,important
krwią,blood
zeszłej,last year
piekło,hell
wakacje,holidays
przedtem,before
pozwólcie,let me
pamiętać,remember
oby,may
ust,paragraph
dzieła,works
um,um
wprost,directly
pełni,full
najgorsze,the worst
tylu,so many
obecnie,Currently
scenariusz,scenario
helen,Helen
misja,mission
kłamiesz,you're lying
pojawił,appeared
grozi,threatens
piekła,hell
operacja,operation
wozu,car
sąd,court
chłopie,boy
byle,any
hank,Hank
pośpiesz,hurry up
karen,Karen
ciemności,darkness
okiem,eye
pozycji,position
przedstawienie,show
zasada,principle
chłopców,boys
bomby,bombs
żonie,wife
kluczyki,keys
klasie,class
ostatniego,the last one
ed,ed
prawdziwego,real
kochał,he loved
znają,they know
mężczyznę,man
mądry,wise
grasz,you play
palców,fingers
idiota,idiot
łóżko,bed
wodą,water
odciski,prints
mieszkać,to live
morderca,murderer
przypadkiem,by chance
wolna,Free
połowie,half
szkołę,school
wyłączyć,turn off
prysznic,shower
johna,john
pokonać,defeat
ramię,arm
mamusiu,Mommy
przyszłam,I came
słodkie,sweet
kawałki,pieces
pańskiej,yours
piwnicy,basement
wysłał,sent
zegarek,watch
dookoła,around
ciężki,heavy
polega,relies
stopni,degrees
samochodem,by car
nazywał,he called
połączenie,connection
plus,plus
zastanawiałem,I wondered
przerwy,breaks
prawdą,True
rada,advice
pyta,he asks
postawić,put
ukradł,stole
urządzenie,device
przystojny,handsome
agencie,agent
umrzesz,you will die
siedział,he was sitting
simon,Simon
własnych,own
lotnisko,airport
phoebe,phoebe
zapomniałeś,you forgot
kupił,bought
punktu,point
chwile,times
zakupy,shopping
szukają,they are looking for
okazało,it turned out
poniedziałek,Monday
palce,fingers
pojedziemy,we will go
ręką,hand
adam,adam
tajemnicy,secret
poprostu,simply
wstać,get up
drzewo,tree
odpowiedz,answer
zmęczona,tired
skończyła,she finished
szpital,hospital
wujku,uncle
trakcie,during
zostawiłem,I left it
kosztuje,costs
okropnie,terrible
dają,they give
kolejna,another one
wychodzić,go out
gazety,newspapers
okres,period
przyjdziesz,you will come
miejsc,places
działają,they work
matce,mother
bronić,defend
zjednoczonych,united
rzeczywistości,reality
wpadł,he fell in
tańczyć,dance
ameryce,america
goście,guests
twarzą,face
uwolnić,release
zacznę,I'll start
przerwę,break
ochrona,security
detektywie,detective
komórki,cells
zakończyć,end
prosił,he asked
litość,mercy
niedawno,recently
obrazy,pictures
alice,alice
zabawny,funny
ono,it
pełen,full
gejem,gay
piosenkę,song
zapomniałam,I forgot
rozmawiam,I'm talking
samochody,cars
wziąłeś,you took it
spotkaliśmy,we met
szacunkiem,respect
większy,greater
królowa,queen
próbuj,try
zdaniem,in my opinion
łazienki,bathrooms
wpaść,drop by
taniec,dance
para,couple
czysta,clean
używa,uses
szczery,honest
siła,force
herbaty,tea
chciałabyś,you would like to
czekałem,I waited
dźwięk,sound
tamten,that
wspomnienia,memories
odeszła,she left
położyć,put
sześciu,six
kłamstwo,lie
dotyczy,refers to
rusza,moves
leki,medicines
siedzisz,you are sitting
nagrodę,reward
bar,bar
pracujemy,we are working
operację,surgery
programu,program
żyjemy,we are alive
wywiad,interview
robin,robin
jemu,him
celi,cell
wstyd,shame
dawać,give
pilnuj,keep an eye on it
swojemu,to your own
chłopakiem,boyfriend
com,com
palec,finger
radzę,I advise
muzeum,museum
cierpię,I'm suffering
przyszło,it came
show,show
zmarła,died
walkę,fight
rządu,government
znieść,bear
aresztowany,arrested
julie,Julie
przyjdź,come
ważnego,important
grane,played
sierżant,sergeant
pomóżcie,help
marty,marty
starym,old
dostaje,gets
dupkiem,asshole
pozycję,position
starych,old ones
chuja,dick
piękną,Beautiful
przeczytać,read
odwiedzić,visit
ostrożny,careful
opowiedzieć,tell
kolacji,dinner
podobnie,similarly
weźmiemy,we will take it
klub,club
sa,are
szukałem,I was looking
bycia,being
poważny,serious
talent,talent
braci,brothers
tatą,dad
przyjaciółką,friend
białe,white
załatwione,settled
wiarę,faith
szybki,fast
jeff,jeff
porze,time
łączy,connects
wayne,Wayne
your,your
aie,aie
ksiądz,priest
widzieli,they saw
nancy,nancy
starszy,senior
skończyliśmy,we're done
walczył,he fought
przyjechałem,I arrived
betty,Betty
ważna,important
gwiazda,star
wysokości,height
akcja,share
wszelkie,any
wymiar,dimension
płacą,wages
zaczekajcie,Wait
filmy,movies
sprawiedliwości,justice
zwycięstwo,victory
rozwiązanie,solution
lotu,flight
przenieść,move
mężczyzny,man
that,that
pokaz,show
wydział,department
materiał,material
clark,clark
smakuje,tastes good
swe,theirs
kyle,Kyle
bezpieczeństwo,security
poprosić,ask
michelle,michelle
wdzięczny,grateful
zechce,he wants
wycofać,withdraw
czerwone,red
skończę,I'll finish
bądźcie,be
żywo,live
miejscach,places
walce,fights
rozmawiamy,we are talking
ucieka,runs away
oficer,officer
podpisać,sign
przeze,by
kłamie,he's lying
zaczynasz,you start
umieram,I'm dying
dziennie,daily
królową,queen
skończyło,it's over
wybaczcie,excuse me
dowiem,I will find out
samotny,lonely
misję,mission
istnieją,they exist
kochana,dear
nauczył,taught
stu,hundred
prosi,asks
piwa,beer
snu,sleep
siedzę,I'm sitting
główny,main
zrozumiałeś,you understood
przysłał,he sent
odwróć,reverse
sypialni,bedroom
szczegóły,details
wypuść,let out
niebezpieczny,dangerous
paryżu,paris
londynie,London
dwadzieścia,twenty
dzwonić,call
sensie,sense
sprawach,matters
ślubu,wedding
kolejną,another one
zabity,killed
pociągu,train
poprawki,amendments
wart,worth
styl,style
zamierza,intends to
nakaz,warrant
deszcz,rain
dach,roof
koszmar,nightmare
dobrzy,good ones
maszyny,machines
udaje,pretends
kręci,is spinning
bombę,bomb
załóż,assume
prowadzę,I'm driving
specjalny,special
wiecznie,eternally
tim,tim
wodzie,water
spod,bottom
znany,known
kłopot,trouble
bzdura,nonsense
czekasz,you are waiting
rolę,role
zwrócić,return
ekstra,extra
pozostać,stay
dostaniemy,we will get it
mm,mm
kawa,coffee
włosów,hair
mogły,they could
żadnym,none
robiła,she did
starczy,senile
ciemno,dark
oka,eye
nosa,nose
pogrzeb,funeral
gram,gram
sieci,networks
louis,Louis
swej,his own
kontrolą,control
naturalnie,naturally
zamknięty,closed
podstawie,basis
martwa,dead
musieliśmy,we had to
zajęta,busy
użyj,use
słyszeliście,you heard
odrobinę,a little bit
następnie,then
zejść,get down
skóry,skin
rozmawiał,he talked
wchodzimy,let's go in
maria,maria
love,love
straszny,terrifying
ochronę,protection
konie,horses
słaby,weak
bruce,Bruce
weźmiesz,you will take it
zabieram,I'm taking it
reszty,the rest
roy,Roy
okazja,opportunity
rogu,corner
wieki,centuries
gordon,gordon
przyjedzie,will come
lesie,forest
ratować,save
obiecaj,promise
cole,cole
piętro,floor
zwykły,ordinary
dowiemy,we'll find out
imperium,empire
weźcie,take it
nadzieje,hopes
strata,loss
swą,hers
nienawidzi,hates
zaczynaj,start
przybył,arrived
ludziach,people
zresztą,anyway
klient,Client
zwierząt,animals
artykuł,article
zgadnij,guess
beze,meringue
podnieść,raise
złą,bad
byc,to be
złap,catch
spacer,walk
przyjechać,come
but,shoe
gadaj,talk
kula,ball
pozwolił,he allowed
wyżej,higher
typu,type
kilometrów,kilometers
naszymi,ours
świadków,witnesses
ciele,calf
szacunek,respect
sara,sara
ucieczki,escape
czarne,black
dumna,proud
zajmiemy,we will take care of it
wytłumaczyć,explain
nadejdzie,will come
faktycznie,really
czułam,I felt
agenta,agent
uważajcie,be careful
złych,bad ones
przejście,transition
zapewniam,I assure you
prosimy,please
takimi,like that
man,man
koledzy,friends
śmierdzi,it stinks
rozumiecie,you understand
miesiącu,month
księżyc,moon
silnik,engine
Harvey,Harvey
Sean,Sean
pomimo,despite
wiek,age
rzeczach,things
kurwy,whores
wezwać,call
widzą,they see
Phil,Phil
I'm,Them
zamek,lock
decyzji,decision
zwolnij,Slow
przyjdą,they will come
dostała,she got it
terenie,area
zaczniesz,you will start
fair,fair
amerykanie,Americans
czarna,black
śladów,traces
gwiazdą,star
Molly,Molly
generała,general
cycki,tits
gramy,we're playing
przypomnieć,to remind
świętego,saint
przeczucie,hunch
lecimy,let's go
warunki,conditions
łapy,paws
niemal,almost
powrotu,return
zabierze,will take away
skończysz,you're done
dzieciaku,kid
sztuka,piece
mile,pleasantly
sprawić,make
lepsza,better
podobne,similar
skorzystać,take advantage
sekundy,seconds
kot,cat
Jackie,Jackie
rock,rock
małych,small ones
głośno,loudly
planecie,planet
gaz,gas
zaczynają,they start
szukał,he was looking
smutne,sad
osobiste,personal
obcy,stranger
czwartek,Thursday
wyobraź,imagine
powietrzu,air
granicy,border
pacjent,patient
następna,next
pojęcie,concept
tytuł,title
usłyszałem,I heard
okulary,glasses
zrozum,understand
taylor,taylor
zespołu,team
trzymał,he held
wracajcie,come back
pańskiego,yours
źródło,source
testy,tests
niewinny,innocent
pali,smokes
kalifornii,california
obecność,presence
wojska,army
ilość,quantity
żywy,alive
bawi,entertains
wolisz,you prefer
włóż,insert
sędzia,judge
towarzystwo,company
zainteresowany,interested
niemcy,Germany
minął,passed
pewni,sure
kochałem,I loved
piętrze,floor
oszalałeś,you're crazy
ranka,morning
głównie,mainly
marzenia,dreams
dowiedział,found out
sukces,success
złożyć,fold
fajny,cool
mulder,mulder
zastrzelić,shoot
procent,percent
doświadczenie,experience
idioto,idiot
obóz,camp
grał,played
mac,mother
straciłeś,you lost
zapewnić,to ensure
polu,field
wyjaśnię,I'll explain
obiecałem,I promised
nagranie,recording
wilson,Wilson
szansy,chance
kolacja,Dinner
pewną,certain
picia,drinking
bałagan,mess
biznes,business
zostaliśmy,we stayed
kochany,Dear
glina,clay
uspokoić,calm down
trafił,he hit it
skomplikowane,complicated
koń,horse
wal,shaft
uderzył,hit
czek,check
pas,crimson
płaci,pays
zrozumiesz,you will understand
zostawiła,she left
sobotę,Saturday
przeżył,survived
św,Saint
nazywać,call
połączyć,to combine
wyspy,islands
wychodzimy,we're leaving
rzadko,rarely
odwagi,courage
nazwać,call
powoduje,causes
pozostałych,others
jork,york
nauki,science
zadziała,it will work
pracują,they work
spadamy,we're falling
poznałam,I met
kule,bullets
myśleliśmy,we thought
pozostaje,remains
powiedzcie,tell me
stanowisko,position
sekundę,a second
cena,price
butelkę,bottle
wyślij,send
pańską,yours
przyszłaś,you came
wskazuje,indicates
kończyć,end
telefony,phones
bić,beat
lekarze,doctors
oczami,eyes
zakład,bet
pożyczyć,to borrow
posiada,has
długie,long
chłopaków,boys
nosisz,you wear
zapytam,I'll ask
andrew,andrew
łap,catch
londynu,London
gdyż,because
maszyna,machine
ziemią,earth
uwierzysz,you will believe it
przejdzie,it will pass
tajne,secret
aresztować,arrest
pierścień,ring
dyrektor,director
torbę,bag
mordercą,murderer
wyrzucić,to throw away
kupię,I will buy it
szalone,crazy
barry,Barry
poszli,they went
zabawić,entertain
miejmy,let's
skontaktować,contact
papiery,papers
laski,sticks
sally,sally
zaproszenie,invitation
skórę,skin
dziewczynie,girl
mięso,meat
kontrakt,contract
płacić,pay
miesiąca,month
idealny,ideal
wracasz,you're coming back
morgan,morgan
johnson,johnson
największy,the biggest
zdrowia,health
podłodze,floor
cierpi,suffers
chloe,chloe
morze,sea
puszczaj,let go
jajka,eggs
niebezpieczeństwie,danger
śpisz,you are sleeping
oficjalnie,officially
zacznijmy,let's start
szczęśliwi,happy
tez,Too
zakładam,I assume
stawiam,I bet
głupio,stupid
krzywdy,harm
draniu,bastard
hollywood,hollywood
cudowny,wonderful
odwiedź,visit
zdajesz,you pass
mistrzem,champion
robili,they did
wybrał,chose
powiemy,we will tell
kochają,they love
skurwielu,motherfucker
doświadczenia,experiences
kota,cat
zasięgu,range
jeździć,drive
gorsze,worse
pracą,Work
przesłuchanie,hearing
śladu,trace
ślad,trace
dojść,come
zajmujesz,you occupy
prawem,law
fred,fred
major,major
frankie,frankie
zgłoś,report
wrogów,enemies
duchy,ghosts
el,el
big,big
osiągnąć,to achieve
środki,means
poradzisz,you can do it
głosu,voice
jadą,they're going
pustyni,desert
pokaże,I'll show you
morza,seas
światem,world
dupsko,ass
kolega,friend
choroba,disease
wygrał,won
is,is
poszukać,look
prosiłem,I asked
słyszycie,you hear
odpowiedzialność,responsibility
poprosił,he asked
all,all
niebezpieczeństwo,danger
piosenka,song
liz,lick
umiejętności,skills
pacjenta,patient
ostrzec,warn
postaram,I'll try
wyrok,judgment
romans,romance
kilo,kilo
gardło,throat
prace,works
skurwiel,motherfucker
odbierz,answer
wchodź,come in
pytać,ask
dłoń,hand
choroby,diseases
porozmawiajmy,let's talk
agentem,agent
zabójstwo,murder
dwoma,two
lekarstwo,medicine
wchodzić,enter
rozwiązać,solve
lily,lily
rick,rick
dostaliśmy,we got it
pachnie,smells
frodo,frodo
nogami,legs
odpuść,let it go
jersey,jersey
najwyższy,highest
czuł,he felt
płacz,cry
katie,Katie
pieprzona,fucking
be,be
poczujesz,you will feel it
zostaniemy,we will stay
zaczęli,they started
babciu,Grandma
punktów,points
zwierzę,animal
partner,partner
meczu,match
forsa,bankroll
stworzyć,create
wróg,enemy
lou,lou
kochamy,we love
firmę,company
kapelusz,hat
tyler,Tyler
zagrożenie,danger
żarty,jokes
spodziewałem,I expected
zasługuje,deserves it
zapomnę,I'll forget
każ,order
zamknięta,closed
parker,Parker
ulubiony,favorite
zajmuję,I occupy
wrota,gate
tatę,dad
pacjentów,patients
lady,lady
maggie,Maggie
załatw,deal with
świadkiem,witness
klienta,client
natury,nature
byście,you would
tamtym,that one
doug,doug
wyraźnie,clearly
specjalne,special
twardy,hard
kupę,poop
bogaty,rich
któregoś,someday
doskonały,perfect
numery,numbers
most,bridge
choćby,even
roger,roger
